timestamp,city,temperature,description
2026-05-12T10:34:40.662Z,London,14.47,scattered clouds
2026-05-12T10:57:58.763Z,London,14.86,few clouds
2026-05-12T11:06:40.719Z,London,15.1,few clouds
2026-05-12T11:11:38.817Z,London,15.1,few clouds
2026-05-12T11:42:22.081Z,London,15.78,scattered clouds
2026-05-12T14:14:17.693Z,London,15.95,overcast clouds
2026-05-12T14:30:10.649Z,London,15.58,overcast clouds
2026-06-23T16:08:58.194Z,London,33.53,clear sky
2026-06-23T18:01:10.445Z,London,32.58,clear sky
2026-06-23T20:56:35.481Z,London,26.44,clear sky
2026-06-23T20:59:22.829Z,London,26.44,clear sky
2026-06-23T21:44:45.780Z,London,25.38,clear sky
2026-06-23T23:10:48.639Z,London,24.56,clear sky
2026-06-24T03:56:31.443Z,London,21.25,clear sky
2026-06-24T07:49:48.242Z,London,27.03,clear sky
2026-06-24T10:54:12.442Z,London,32.27,clear sky
2026-06-24T14:39:10.676Z,London,35.11,clear sky
2026-06-24T17:58:46.698Z,London,33.01,clear sky
2026-06-24T20:00:03.228Z,London,28.86,clear sky
2026-06-24T21:43:31.506Z,London,25.97,clear sky
2026-06-24T23:07:58.530Z,London,24.3,clear sky
2026-06-25T03:57:08.233Z,London,20.56,clear sky
2026-06-25T07:51:37.971Z,London,24.71,clear sky
2026-06-25T10:46:31.945Z,London,30.14,clear sky
2026-06-25T14:39:44.947Z,London,32.03,clear sky
2026-06-25T18:12:55.467Z,London,28.57,clear sky
2026-06-25T21:47:28.540Z,London,23.98,scattered clouds
2026-06-25T23:21:44.917Z,London,22.89,scattered clouds
2026-06-26T04:03:53.222Z,London,22.37,broken clouds
2026-06-26T09:34:05.931Z,London,32.26,broken clouds
2026-06-26T12:13:59.350Z,London,34.51,scattered clouds
2026-06-26T16:20:08.073Z,London,34.8,few clouds
2026-06-26T19:54:40.639Z,London,29.45,broken clouds
2026-06-26T21:22:22.370Z,London,27.04,scattered clouds
2026-06-26T23:10:35.743Z,London,25.59,scattered clouds
2026-06-27T03:50:01.388Z,London,21.32,moderate rain
2026-06-27T06:55:41.901Z,London,21.52,clear sky
2026-06-27T10:12:43.469Z,London,27.95,broken clouds
2026-06-27T13:50:41.463Z,London,30.59,overcast clouds
