timestamp,city,temperature,description
2026-05-12T10:34:40.662Z,London,14.47,scattered clouds
2026-05-12T10:57:58.763Z,London,14.86,few clouds
2026-05-12T11:06:40.719Z,London,15.1,few clouds
2026-05-12T11:11:38.817Z,London,15.1,few clouds
2026-05-12T11:42:22.081Z,London,15.78,scattered clouds
2026-05-12T14:14:17.693Z,London,15.95,overcast clouds
2026-05-12T14:30:10.649Z,London,15.58,overcast clouds
2026-06-23T16:08:58.194Z,London,33.53,clear sky
2026-06-23T18:01:10.445Z,London,32.58,clear sky
2026-06-23T20:56:35.481Z,London,26.44,clear sky
2026-06-23T20:59:22.829Z,London,26.44,clear sky
2026-06-23T21:44:45.780Z,London,25.38,clear sky
2026-06-23T23:10:48.639Z,London,24.56,clear sky
2026-06-24T03:56:31.443Z,London,21.25,clear sky
2026-06-24T07:49:48.242Z,London,27.03,clear sky
2026-06-24T10:54:12.442Z,London,32.27,clear sky
2026-06-24T14:39:10.676Z,London,35.11,clear sky
2026-06-24T17:58:46.698Z,London,33.01,clear sky
2026-06-24T20:00:03.228Z,London,28.86,clear sky
2026-06-24T21:43:31.506Z,London,25.97,clear sky
2026-06-24T23:07:58.530Z,London,24.3,clear sky
2026-06-25T03:57:08.233Z,London,20.56,clear sky
2026-06-25T07:51:37.971Z,London,24.71,clear sky
2026-06-25T10:46:31.945Z,London,30.14,clear sky
2026-06-25T14:39:44.947Z,London,32.03,clear sky
2026-06-25T18:12:55.467Z,London,28.57,clear sky
2026-06-25T21:47:28.540Z,London,23.98,scattered clouds
2026-06-25T23:21:44.917Z,London,22.89,scattered clouds
2026-06-26T04:03:53.222Z,London,22.37,broken clouds
2026-06-26T09:34:05.931Z,London,32.26,broken clouds
2026-06-26T12:13:59.350Z,London,34.51,scattered clouds
2026-06-26T16:20:08.073Z,London,34.8,few clouds
2026-06-26T19:54:40.639Z,London,29.45,broken clouds
2026-06-26T21:22:22.370Z,London,27.04,scattered clouds
2026-06-26T23:10:35.743Z,London,25.59,scattered clouds
2026-06-27T03:50:01.388Z,London,21.32,moderate rain
2026-06-27T06:55:41.901Z,London,21.52,clear sky
2026-06-27T10:12:43.469Z,London,27.95,broken clouds
2026-06-27T13:50:41.463Z,London,30.59,overcast clouds
2026-06-27T15:18:39.942Z,London,29.98,overcast clouds
2026-06-27T17:15:13.926Z,London,28.07,overcast clouds
2026-06-27T19:26:06.308Z,London,25.95,overcast clouds
2026-06-27T21:08:51.826Z,London,23.54,overcast clouds
2026-06-27T23:06:34.575Z,London,21.79,broken clouds
2026-06-28T04:11:47.942Z,London,19.58,clear sky
2026-06-28T09:16:10.034Z,London,22.83,overcast clouds
2026-06-28T11:48:23.274Z,London,24.15,broken clouds
2026-06-28T13:55:24.699Z,London,24.88,overcast clouds
2026-06-28T15:20:39.786Z,London,25.95,broken clouds
2026-06-28T17:17:08.371Z,London,24.09,broken clouds
2026-06-28T19:26:36.656Z,London,21.78,overcast clouds
2026-06-28T21:06:17.441Z,London,19.61,overcast clouds
2026-06-28T23:07:25.189Z,London,17.53,broken clouds
2026-06-29T04:18:35.337Z,London,13.49,clear sky
2026-06-29T11:07:27.639Z,London,21.42,clear sky
2026-06-29T15:53:22.789Z,London,24.06,overcast clouds
2026-06-29T18:10:47.957Z,London,22.44,broken clouds
2026-06-29T21:37:55.761Z,London,19.38,overcast clouds
2026-06-29T23:01:16.373Z,London,18.6,overcast clouds
2026-06-30T03:59:11.077Z,London,16.88,overcast clouds
2026-06-30T07:58:50.378Z,London,18.26,light rain
2026-06-30T11:16:41.566Z,London,20.85,overcast clouds
2026-06-30T14:26:41.158Z,London,24.29,broken clouds
2026-06-30T17:59:42.801Z,London,23.24,broken clouds
2026-06-30T20:11:39.781Z,London,20.71,overcast clouds
2026-06-30T23:16:33.044Z,London,18.64,scattered clouds
2026-07-01T04:14:32.546Z,London,16.44,clear sky
2026-07-01T09:55:34.835Z,London,21.68,clear sky
2026-07-01T12:37:16.375Z,London,24.15,scattered clouds
2026-07-01T16:28:54.816Z,London,25.89,broken clouds
